[06:42:56.022] [MainControlStation] Right Door Open
[07:20:21.760] [MainControlStation] Right Door Open
[08:47:06.953] [RightTransferStation] Move XY Axis Error
[08:47:13.274] [RightTransferStation] Move XY Axis Error
[08:47:14.927] [RightTransferStation] Move XY Axis Error
[08:47:16.632] [RightTransferStation] Move XY Axis Error
[09:04:48.738] [RightTransferStation] Move XY Axis Error
[09:04:52.167] [RightTransferStation] Move XY Axis Error
[09:04:53.890] [RightTransferStation] Move XY Axis Error
[09:04:55.658] [RightTransferStation] Move XY Axis Error
[09:04:57.408] [RightTransferStation] Move XY Axis Error
[09:04:59.703] [RightTransferStation] Move XY Axis Error
[09:16:47.974] [RightTransferStation] Move XY Axis Error
[09:16:51.938] [RightTransferStation] Move XY Axis Error
[09:16:53.895] [RightTransferStation] Move XY Axis Error
[09:39:49.745] [RightTransferStation] Move XY Axis Error
[09:39:52.296] [RightTransferStation] Move XY Axis Error
[09:39:54.045] [RightTransferStation] Move XY Axis Error
[09:39:55.726] [RightTransferStation] Move XY Axis Error
[09:39:57.389] [RightTransferStation] Move XY Axis Error
[09:39:59.172] [RightTransferStation] Move XY Axis Error
[09:40:00.777] [RightTransferStation] Move XY Axis Error
[09:40:02.632] [RightTransferStation] Move XY Axis Error
[10:06:31.207] [RightTransferStation] Move XY Axis Error
[10:06:36.396] [RightTransferStation] Move XY Axis Error
[10:06:38.076] [RightTransferStation] Move XY Axis Error
[10:06:39.770] [RightTransferStation] Move XY Axis Error
[10:06:41.615] [RightTransferStation] Move XY Axis Error
[10:06:43.288] [RightTransferStation] Move XY Axis Error
[10:13:36.040] [RightTransferStation] Move XY Axis Error
[10:13:40.452] [RightTransferStation] Move XY Axis Error
[10:34:25.343] [RightTransferStation] Move XY Axis Error
[10:34:29.696] [RightTransferStation] Move XY Axis Error
[10:34:31.468] [RightTransferStation] Move XY Axis Error
[10:34:35.490] [RightTransferStation] Move XY Axis Error
[11:04:03.825] [RightTransferStation] Move XY Axis Error
[11:04:07.486] [RightTransferStation] Move XY Axis Error
[11:04:09.174] [RightTransferStation] Move XY Axis Error
[11:04:10.959] [RightTransferStation] Move XY Axis Error
[11:04:12.665] [RightTransferStation] Move XY Axis Error
[11:04:14.387] [RightTransferStation] Move XY Axis Error
[11:12:47.306] [RightTransferStation] Move XY Axis Error
[11:12:49.798] [RightTransferStation] Move XY Axis Error
[11:12:51.524] [RightTransferStation] Move XY Axis Error
[11:12:54.307] [RightTransferStation] Move XY Axis Error
[11:12:56.174] [RightTransferStation] Move XY Axis Error
[11:22:15.531] [RightTransferStation] Move XY Axis Error
[11:22:17.792] [RightTransferStation] Move XY Axis Error
[11:22:19.472] [RightTransferStation] Move XY Axis Error
[11:22:21.184] [RightTransferStation] Move XY Axis Error
[11:22:22.883] [RightTransferStation] Move XY Axis Error
[11:22:24.760] [RightTransferStation] Move XY Axis Error
[11:22:26.480] [RightTransferStation] Move XY Axis Error
[11:34:18.901] [RightTransferStation] Move XY Axis Error
[11:34:24.138] [RightTransferStation] Move XY Axis Error
[11:34:25.956] [RightTransferStation] Move XY Axis Error
[11:34:27.763] [RightTransferStation] Move XY Axis Error
[11:34:29.565] [RightTransferStation] Move XY Axis Error
[11:34:31.367] [RightTransferStation] Move XY Axis Error
[12:30:52.496] [RightTransferStation] Move XY Axis Error
[12:30:56.850] [RightTransferStation] Move XY Axis Error
[12:30:58.806] [RightTransferStation] Move XY Axis Error
[12:31:00.584] [RightTransferStation] Move XY Axis Error
[12:31:02.326] [RightTransferStation] Move XY Axis Error
[13:07:30.733] [RightTransferStation] Move XY Axis Error
[13:07:34.050] [RightTransferStation] Move XY Axis Error
[13:07:35.838] [RightTransferStation] Move XY Axis Error
[13:07:37.720] [RightTransferStation] Move XY Axis Error
[13:07:39.440] [RightTransferStation] Move XY Axis Error
[13:07:41.179] [RightTransferStation] Move XY Axis Error
[13:27:04.516] [RightTransferStation] Move XY Axis Error
[13:27:09.524] [RightTransferStation] Move XY Axis Error
[13:27:11.274] [RightTransferStation] Move XY Axis Error
[13:27:13.195] [RightTransferStation] Move XY Axis Error
[13:27:14.979] [RightTransferStation] Move XY Axis Error
[13:44:58.471] [RightTransferStation] Move XY Axis Error
[13:45:03.344] [RightTransferStation] Move XY Axis Error
[13:45:05.027] [RightTransferStation] Move XY Axis Error
[13:45:06.722] [RightTransferStation] Move XY Axis Error
[13:45:08.402] [RightTransferStation] Move XY Axis Error
[14:52:44.887] [RightTransferStation] Move XY Axis Error
[14:52:49.964] [RightTransferStation] Move XY Axis Error
[14:52:51.634] [RightTransferStation] Move XY Axis Error
[14:52:53.403] [RightTransferStation] Move XY Axis Error
[14:52:55.060] [RightTransferStation] Move XY Axis Error
[14:52:56.751] [RightTransferStation] Move XY Axis Error
[15:02:55.364] [LeftTransferStation] Vacuum Error
[15:06:00.742] [LeftTransferStation] Vacuum Error
[15:16:06.160] [LeftTransferStation] Vacuum Error
[15:16:17.540] [LeftTransferStation] Vacuum Error
[15:17:21.610] [RightTransferStation] Move XY Axis Error
[15:17:27.379] [RightTransferStation] Move XY Axis Error
[15:17:29.143] [RightTransferStation] Move XY Axis Error
[15:17:30.932] [RightTransferStation] Move XY Axis Error
