[00:06:06.480] [LeftPPStation] Load Cylinder Up Error
[00:06:37.685] [MainControlStation] Right Door Open
[01:44:31.800] [RightTransferStation] Move XY Axis Error
[02:20:12.634] [RightTransferStation] Move XY Axis Error
[08:27:54.400] [RightTransferStation] Move XY Axis Error
[08:28:38.321] [RightTransferStation] Move XY Axis Error
[08:38:16.505] [RightTransferStation] Move XY Axis Error
[08:41:10.456] [RightTransferStation] Move XY Axis Error
[09:21:46.192] [RightTransferStation] Move XY Axis Error
[09:22:01.848] [RightTransferStation] Move XY Axis Error
[09:22:04.791] [RightTransferStation] Move XY Axis Error
[09:22:19.199] [RightTransferStation] Move XY Axis Error
[09:42:10.133] [RightTransferStation] Move XY Axis Error
[09:42:45.536] [RightTransferStation] Move XY Axis Error
[10:19:49.385] [RightTransferStation] Move XY Axis Error
[10:20:02.243] [RightTransferStation] Move XY Axis Error
[10:25:29.413] [RightTransferStation] Move XY Axis Error
[10:26:06.268] [RightTransferStation] Move XY Axis Error
[11:04:46.614] [LeftPPStation] Unload Cylinder Vacuum Error
[11:09:47.023] [RightTransferStation] Move XY Axis Error
[11:10:30.573] [RightTransferStation] Move XY Axis Error
[11:30:59.984] [RightTransferStation] Move XY Axis Error
[11:31:11.925] [RightTransferStation] Move XY Axis Error
[13:01:21.514] [RightTransferStation] Move XY Axis Error
[13:02:16.166] [RightTransferStation] Move XY Axis Error
[13:07:51.242] [RightTransferStation] Move XY Axis Error
[13:08:08.779] [RightTransferStation] Move XY Axis Error
[13:08:33.175] [RightTransferStation] Move XY Axis Error
[13:11:31.838] [RightTransferStation] Move XY Axis Error
[13:58:25.250] [RightTransferStation] Move XY Axis Error
[13:59:10.230] [RightTransferStation] Move XY Axis Error
[14:35:36.117] [RightTransferStation] Move XY Axis Error
[14:36:37.928] [RightTransferStation] Move XY Axis Error
[14:42:31.375] [RightTransferStation] Move XY Axis Error
[14:42:42.750] [RightTransferStation] Move XY Axis Error
[14:57:44.656] [RightTransferStation] Move XY Axis Error
[14:58:28.732] [RightTransferStation] Move XY Axis Error
[14:58:30.385] [RightTransferStation] Move XY Axis Error
[14:58:33.247] [RightTransferStation] Move XY Axis Error
[14:58:47.117] [RightTransferStation] Move XY Axis Error
[15:03:40.966] [RightTransferStation] Move XY Axis Error
[15:03:57.034] [RightTransferStation] Move XY Axis Error
[15:19:50.199] [RightTransferStation] Move XY Axis Error
[15:20:17.458] [RightTransferStation] Move XY Axis Error
[15:34:43.792] [RightTransferStation] Move XY Axis Error
[15:35:06.458] [RightTransferStation] Move XY Axis Error
[15:42:54.541] [RightTransferStation] Move XY Axis Error
[15:43:33.386] [RightTransferStation] Move XY Axis Error
[15:57:01.449] [RightTransferStation] Move XY Axis Error
[15:57:03.896] [RightTransferStation] Move XY Axis Error
[15:57:51.392] [RightTransferStation] Move XY Axis Error
[16:02:13.768] [MainControlStation] Right Door Open
