[11:14:43.455] [MainControlStation] Left Door Open
[22:58:18.062] [RightTransferStation] Move XY Axis Error
[23:06:40.768] [RightTransferStation] Move XY Axis Error
[23:18:04.204] [RightTransferStation] Move XY Axis Error
[23:20:24.750] [RightTransferStation] Move XY Axis Error
[23:20:27.578] [RightTransferStation] Move XY Axis Error
[23:22:36.543] [RightTransferStation] Move XY Axis Error
[23:24:55.068] [RightTransferStation] Move XY Axis Error
[23:24:59.815] [RightTransferStation] Move XY Axis Error
[23:25:01.538] [RightTransferStation] Move XY Axis Error
[23:25:03.807] [RightTransferStation] Move XY Axis Error
[23:25:05.579] [RightTransferStation] Move XY Axis Error
[23:34:12.483] [RightTransferStation] Move XY Axis Error
[23:34:15.243] [RightTransferStation] Move XY Axis Error
[23:34:31.467] [RightTransferStation] Move XY Axis Error
[23:34:35.531] [RightTransferStation] Move XY Axis Error
[23:34:37.355] [RightTransferStation] Move XY Axis Error
[23:34:39.175] [RightTransferStation] Move XY Axis Error
[23:40:27.086] [RightTransferStation] Move XY Axis Error
[23:40:29.977] [RightTransferStation] Move XY Axis Error
[23:40:31.687] [RightTransferStation] Move XY Axis Error
[23:40:38.059] [RightTransferStation] Move XY Axis Error
[23:42:48.603] [RightTransferStation] Move XY Axis Error
[23:42:51.666] [RightTransferStation] Move XY Axis Error
[23:42:53.489] [RightTransferStation] Move XY Axis Error
[23:54:00.674] [RightTransferStation] Move XY Axis Error
[23:54:04.703] [RightTransferStation] Move XY Axis Error
[23:54:06.585] [RightTransferStation] Move XY Axis Error
[23:54:28.059] [RightTransferStation] Move XY Axis Error
[23:58:03.752] [RightTransferStation] Move XY Axis Error
[23:58:07.295] [RightTransferStation] Move XY Axis Error
[23:58:09.104] [RightTransferStation] Move XY Axis Error
[23:58:10.928] [RightTransferStation] Move XY Axis Error
[23:58:12.779] [RightTransferStation] Move XY Axis Error
[23:58:15.281] [RightTransferStation] Move XY Axis Error
