[04:37:47.167] moveZ Failed : Check Inposition Failed
[07:32:10.397] moveZ Failed : Send Command Failed
[07:32:10.542] moveZ Failed : Send Command Failed
[07:32:10.628] moveZ Failed : Send Command Failed
[07:32:10.709] moveZ Failed : Send Command Failed
[07:32:15.675] moveZ Failed : Send Command Failed
[07:32:16.488] moveZ Failed : Send Command Failed
[07:32:16.668] moveZ Failed : Send Command Failed
[07:32:17.428] moveZ Failed : Send Command Failed
[07:32:18.143] moveZ Failed : Send Command Failed
[07:32:18.315] moveZ Failed : Send Command Failed
[07:32:19.074] moveZ Failed : Send Command Failed
[07:32:19.805] moveZ Failed : Send Command Failed
[07:32:19.980] moveZ Failed : Send Command Failed
[07:32:20.748] moveZ Failed : Send Command Failed
[07:32:23.911] moveZ Failed : Send Command Failed
[07:32:26.697] moveZ Failed : Send Command Failed
[07:32:29.079] moveZ Failed : Send Command Failed
