[13:44:40]CRs232CB::RecvPacket(P3, S0, N0x90, C0x22) Recv Timeout [Nothing received]
[13:45:48]CRs232CB::RecvPacket(P3, S0, N0xBE, C0x22) Recv Timeout [Nothing received]
[13:45:48]CRs232CB::RecvPacket(P3, S0, N0xBF, C0x22) Different Sync No. (Recv_Sync 0xBE)
Recv_Buffer :
	0x00 0xBE 0x22 0x00 0x00 0x00 0x00 0x00 0x00 0x82 
	0x0A 
[15:26:51]CRs232CB::RecvPacket(P4, S0, N0xF5, C0x22) Recv Timeout [levl:2, Read:10]
Recv_Buffer :
	0x00 0xF5 0x22 0x00 0x00 0x00 0x00 0x20 0x04 0xDF 
[15:26:51]CRs232CB::RecvPacket(P4, S0, N0xF5, C0x22) Recv Timeout [Nothing received]
[15:26:51]CRs232CB::RecvPacket(P4, S0, N0xF5, C0x22) Recv Timeout [Nothing received]
[15:26:52]CRs232CB::RecvPacket(P4, S0, N0xF6, C0x22) Recv Timeout [Nothing received]
[15:26:52]CRs232CB::RecvPacket(P4, S0, N0xF6, C0x22) Recv Timeout [Nothing received]
[15:26:52]CRs232CB::RecvPacket(P4, S0, N0xF6, C0x22) Recv Timeout [Nothing received]
[15:26:52]CRs232CB::RecvPacket(P4, S0, N0xF7, C0x22) Recv Timeout [Nothing received]
[15:26:52]CRs232CB::RecvPacket(P4, S0, N0xF7, C0x22) Recv Timeout [Nothing received]
[15:26:52]CRs232CB::RecvPacket(P4, S0, N0xF7, C0x22) Recv Timeout [Nothing received]
[15:26:52]CRs232CB::RecvPacket(P4, S0, N0xF8, C0x22) Recv Timeout [Nothing received]
[15:26:52]CRs232CB::RecvPacket(P4, S0, N0xF8, C0x22) Recv Timeout [Nothing received]
[15:26:52]CRs232CB::RecvPacket(P4, S0, N0xF8, C0x22) Recv Timeout [Nothing received]
[15:26:53]CRs232CB::RecvPacket(P4, S0, N0xF9, C0x22) Recv Timeout [Nothing received]
[15:26:53]CRs232CB::RecvPacket(P4, S0, N0xF9, C0x22) Recv Timeout [Nothing received]
[15:26:53]CRs232CB::RecvPacket(P4, S0, N0xF9, C0x22) Recv Timeout [Nothing received]
[15:26:53]CRs232CB::RecvPacket(P4, S0, N0xFA, C0x22) Recv Timeout [Nothing received]
[15:26:53]CRs232CB::RecvPacket(P4, S0, N0xFA, C0x22) Recv Timeout [Nothing received]
[15:26:53]CRs232CB::RecvPacket(P4, S0, N0xFA, C0x22) Recv Timeout [Nothing received]
[15:26:53]CRs232CB::RecvPacket(P4, S0, N0xFB, C0x22) Recv Timeout [Nothing received]
[15:26:53]CRs232CB::RecvPacket(P4, S0, N0xFB, C0x22) Recv Timeout [Nothing received]
[15:26:53]CRs232CB::RecvPacket(P4, S0, N0xFB, C0x22) Recv Timeout [Nothing received]
[15:26:54]CRs232CB::RecvPacket(P4, S0, N0xFC, C0x22) Recv Timeout [Nothing received]
[15:26:54]CRs232CB::RecvPacket(P4, S0, N0xFC, C0x22) Recv Timeout [Nothing received]
[15:26:54]CRs232CB::RecvPacket(P4, S0, N0xFC, C0x22) Recv Timeout [Nothing received]
